,repetition,k,M,N,Time,MSE,MSIE,A_EEE,Mean_abs_u,mean_square_ut,std_ut,dhm_stat,c_equivalent
0,0,10,250,1,0.011424696999938533,0.0020098396999885058,inf,0.9999999999919664,inf,inf,,,[-100.]
1,1,10,250,1,0.011951311000075293,0.004668547781238699,0.0012798011231498008,0.018488151703932948,0.04844574144141839,0.006060215272005343,0.07749499207098288,903.392853170813,[0.7988043]
2,2,10,250,1,0.012487813999996433,0.0018509712967684536,inf,0.9099549887174628,inf,inf,,,[-100.]
3,3,10,250,1,0.012212489999910758,0.0019387177092393703,0.0002512997668866807,0.009102892201345998,0.035250326400154824,0.0028350643661957703,0.053217638114191855,104.02636477995635,[0.19970448]
4,4,10,250,1,0.014287462999845957,0.0018903255238424867,0.00020208119005956347,0.010587068603461163,0.030879051747263186,0.002673659790114156,0.051588485726028664,458.0877797982384,[0.39703718]
5,0,10,250,2,0.013501870000027338,0.0014121311110572795,0.0002188440320495629,0.006755029118095264,0.03851704190658747,0.0031626641714983233,0.056227660582522564,35.89399577338509,[0.12020978]
6,1,10,250,2,0.013953810999964844,0.0014690300120672503,9.10124735780648e-05,0.0061274262905485835,0.03608341914267908,0.002611611441648232,0.051066979512921884,144.307269133406,[-0.21599008]
7,2,10,250,2,0.013140805999910299,0.0008921716552576145,0.0001812693830031941,0.006279779538306234,0.033469902711509805,0.0026694097766421414,0.05157974919246125,333.6358443772797,[0.33331309]
8,3,10,250,2,0.012593967999919187,0.0012964787386575292,0.00012258619729017172,0.00615660321871365,0.03606182913910467,0.002565147334967493,0.05061028912584625,145.78148566580649,[-0.21816609]
9,4,10,250,2,0.01466314300000704,0.001442184095834954,0.000162822249797858,0.006854588119832762,0.037068269801991696,0.0026649611626798327,0.05160946508629632,53.937316016101114,[0.13515692]
10,0,10,250,5,0.01992085999995652,0.0004034823502589575,0.00014039582420058173,0.005770367820611567,0.03602523906414325,0.0024907538456059586,0.04987498328219024,129.94096605274765,[-0.20549127]
11,1,10,250,5,0.022606806999874607,0.0005032642475481133,inf,0.6897275301422005,inf,inf,,,[-100.]
12,2,10,250,5,0.032076773999961006,0.00040244573521919404,inf,0.7358307540686522,inf,inf,,,[-100.]
13,3,10,250,5,0.019216735000100016,0.0004497149699039687,5.466753869859458e-05,0.004734924138037126,0.0348552301441505,0.002330624220023221,0.04827457729427211,9.046104639342452,[-0.05158767]
14,4,10,250,5,0.016262193000102343,0.00042314778434018353,2.786623957551991e-05,0.004330061922339301,0.03523915865162354,0.0024604133071310288,0.04957372298820887,116.18143888898773,[0.19155794]
15,0,10,250,10,0.022174224000082177,0.00024723346166448,4.259645310208043e-05,0.0037088193879360543,0.03566382350655559,0.002495351065038253,0.04988659964115493,266.6566681092963,[-0.29344322]
16,1,10,250,10,0.02621577099989736,0.0002160513764684008,3.523499236645928e-05,0.0028876681376027347,0.03482935279086184,0.002602261345838134,0.05100410582089698,33.06300509122235,[0.10403479]
17,2,10,250,10,0.02144108800007416,0.000185501212461754,2.656180824812179e-05,0.0031232924250597805,0.03334420804462747,0.0023621520763377184,0.04859820176200706,16.377599924645406,[-0.07039625]
18,3,10,250,10,0.020712968999987424,0.00023350471680927943,3.3575835015689605e-05,0.0030491315349268793,0.03462000674840408,0.0024850393659091607,0.04984306737403373,29.213083806663743,[0.09549209]
19,4,10,250,10,0.021614279999994324,0.0002574156223194171,2.370565741776313e-05,0.002943182171262038,0.036282644862275164,0.0026149853804416424,0.05113561281056622,6.091510597053641,[0.04513226]
20,0,10,250,100,0.1271098089998759,2.7686663885843217e-05,5.895410591812715e-06,0.0008707441434064135,0.03443643548350611,0.002421738073004542,0.04921122050925006,0.7485542711045444,[0.01523277]
21,1,10,250,100,0.14615140799992332,2.3731004324511103e-05,7.85221037961524e-06,0.0014300506089481128,0.034675548261098865,0.0024162031185756797,0.049154338336049375,3.2183576152076805,[0.03155794]
22,2,10,250,100,0.15260322300014195,2.5598929241296447e-05,6.319364448092645e-06,0.0011049729645325225,0.03481980519786143,0.0024465367490288915,0.04946060204077921,8.510578864320495,[0.05150638]
23,3,10,250,100,0.10817397000005258,3.857752043865321e-05,6.5474262962731765e-06,0.0017645870407626317,0.033919069200565005,0.0023648540094068264,0.04862583073663869,17.018843727064457,[0.07166481]
24,4,10,250,100,0.1220031850000396,2.0489926586295043e-05,1.0775932185108228e-05,0.0010900695180980486,0.03480395970161989,0.002473461313704603,0.04973372914221379,1.700398783915625,[0.02316798]
25,0,10,250,200,0.24015490299984776,1.2524158540649454e-05,2.1119398088134846e-05,0.002116180165739529,0.036212806895821195,0.002545715133967952,0.050431137116225454,95.02507667004645,[-0.17566834]
26,1,10,250,200,0.21079422100001466,1.2267193484522869e-05,6.697979116789436e-06,0.0008904584262248902,0.03470422609922893,0.00247081673355821,0.04970733356028732,0.9088031632322529,[0.01696619]
27,2,10,250,200,0.2134033489999183,1.320053376452736e-05,7.227690048715983e-06,0.000874064515864187,0.0346716447826458,0.002454594214755392,0.049544106042862704,0.022819281382252574,[-0.00267739]
28,3,10,250,200,0.21272824199991192,9.165774005434301e-06,7.964026325223687e-06,0.0010037047377736796,0.03478932960453944,0.00248789773880199,0.0498771220247753,7.782477546518171,[0.04973434]
29,4,10,250,200,0.2366201429999819,1.2114813302765427e-05,1.8439488268403774e-05,0.002128011549972517,0.035063865858696024,0.002423301893466242,0.04920536814004487,88.24138011078188,[-0.16567335]
30,0,10,250,500,0.5691893319999508,4.329130339673196e-06,7.696169148090373e-06,0.0009004876749617025,0.03464307902927483,0.002462732026350626,0.04962558431937861,2.3429401941036763,[0.02717396]
31,1,10,250,500,0.5478202909998799,4.9392791595029815e-06,5.675219077480601e-06,0.000838042584499643,0.03464019075143417,0.0024378043710283443,0.04937397255071535,1.617495136869982,[-0.02243504]
32,2,10,250,500,0.5620037520000096,4.50376276358544e-06,8.130616623893593e-06,0.0008390789090612512,0.034807848045916766,0.0024976764633208755,0.04997434580416005,10.562117617863347,[0.0580436]
33,3,10,250,500,0.5601392269998087,5.770337554939024e-06,3.7662841015977063e-06,0.0009009854286943629,0.03464404991217139,0.00242398143191172,0.04923417585020149,0.07537751514984423,[-0.00483603]
34,4,10,250,500,0.5594764980000946,5.8710420120829336e-06,8.945459504195043e-06,0.0012643779643938865,0.034763145005988844,0.002468861391346635,0.049687803620324524,0.3408922987660263,[0.01040422]
35,0,10,250,1000,1.1551559160000124,3.4430647144217595e-06,3.210271411924671e-06,0.0010187855523581828,0.0345791217123366,0.00239820036958377,0.04897136948853546,1.2204363795058122,[-0.01935444]
36,1,10,250,1000,1.4211178570001266,2.6257086197974533e-06,6.961509748804435e-06,0.0009396508192795978,0.03454614857558955,0.0024377490618836405,0.04937381418554101,0.006462180931312834,[0.00142049]
37,2,10,250,1000,1.1159624490001079,2.780321495637425e-06,5.586007443240951e-06,0.0009054254336950102,0.03492255756918211,0.0024868684513007517,0.04986812843613873,2.521400089313778,[0.02831369]
38,3,10,250,1000,1.0609651289998965,6.841180775949342e-06,4.68727286022398e-06,0.0013522939286616097,0.03464766296225786,0.0023950135677453617,0.04893882087560911,1.222343804383394,[0.01931911]
39,4,10,250,1000,1.1488664759999665,2.8407131037597347e-06,6.888467397840232e-06,0.0008707943187176786,0.0345718610197648,0.002454142050169091,0.04953908867900739,1.8367629337662725,[0.02404034]
